Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,277.8500061035156,283.8999938964844,276.1499938964844,280.75,273.4009704589844,333208
2021-01-04,283.8999938964844,283.8999938964844,277.70001220703125,279.04998779296875,271.7454833984375,304107
2021-01-05,278.79998779296875,282.0,277.20001220703125,279.25,271.9402160644531,341339
2021-01-06,282.0,286.0,278.04998779296875,279.6000061035156,272.28106689453125,750611
2021-01-07,281.0,303.70001220703125,281.0,296.1000061035156,288.34918212890625,2096322
2021-01-08,298.54998779296875,310.95001220703125,293.3500061035156,302.1499938964844,294.2408142089844,2349500
2021-01-11,304.79998779296875,307.3500061035156,295.1499938964844,301.3500061035156,293.4617614746094,819817
2021-01-12,301.3500061035156,302.75,295.0,297.6000061035156,289.8099060058594,507524
2021-01-13,297.0,302.5,285.95001220703125,291.1000061035156,283.48004150390625,751257
2021-01-14,291.8500061035156,297.75,290.04998779296875,295.0,287.2779541015625,612451
2021-01-15,295.0,295.3999938964844,287.8500061035156,289.25,281.6784973144531,386481
2021-01-18,288.95001220703125,288.95001220703125,278.79998779296875,280.1499938964844,272.8166809082031,330171
2021-01-19,282.5,286.1499938964844,280.54998779296875,283.3999938964844,275.9815979003906,358544
2021-01-20,281.5,286.95001220703125,278.95001220703125,281.29998779296875,273.93658447265625,437946
2021-01-21,283.0,285.04998779296875,265.29998779296875,270.25,263.17584228515625,602722
2021-01-22,272.70001220703125,275.20001220703125,266.0,269.95001220703125,262.8836975097656,368331
2021-01-25,274.0,274.6499938964844,263.04998779296875,265.6499938964844,258.69622802734375,317201
2021-01-27,265.6499938964844,266.6000061035156,252.0,253.85000610351562,247.20513916015625,622469
2021-01-28,250.0,254.75,246.25,248.5,241.9951629638672,566876
2021-01-29,252.5500030517578,258.54998779296875,242.5,245.25,238.8302459716797,797733
2021-02-01,248.5,258.79998779296875,240.5,254.75,248.08155822753906,1101034
2021-02-02,259.45001220703125,273.0,258.29998779296875,261.45001220703125,254.60618591308594,1436439
2021-02-03,263.0,268.70001220703125,261.3500061035156,262.70001220703125,255.823486328125,748852
2021-02-04,256.20001220703125,259.75,252.5,254.3000030517578,247.64334106445312,1106486
2021-02-05,256.0,257.75,250.0,250.85000610351562,244.28366088867188,884898
2021-02-08,253.3000030517578,256.5,248.0,248.8000030517578,242.2873077392578,721128
2021-02-09,250.0,254.0,237.0,240.3000030517578,234.0098114013672,954799
2021-02-10,243.0,250.0,241.39999389648438,245.89999389648438,239.46322631835938,1848329
2021-02-11,240.5500030517578,246.10000610351562,240.5500030517578,244.0,237.61294555664062,921634
2021-02-12,243.85000610351562,246.0,240.3000030517578,243.5,237.12603759765625,628547
2021-02-15,249.4499969482422,252.0,243.25,247.75,241.26480102539062,1145311
2021-02-16,249.8000030517578,249.8000030517578,244.8000030517578,246.0,239.56060791015625,517842
2021-02-17,247.10000610351562,247.10000610351562,241.39999389648438,242.39999389648438,236.05482482910156,606786
2021-02-18,244.89999389648438,252.0,242.60000610351562,248.64999389648438,242.1412353515625,945092
2021-02-19,248.0,249.4499969482422,240.6999969482422,243.0,236.63914489746094,600622
2021-02-22,243.1999969482422,244.6999969482422,230.0500030517578,231.89999389648438,225.82968139648438,874709
2021-02-23,233.89999389648438,243.60000610351562,225.9499969482422,237.14999389648438,230.9422607421875,1742303
2021-02-24,238.0,253.39999389648438,238.0,247.3000030517578,240.8265838623047,780212
2021-02-25,249.3000030517578,255.0,245.1999969482422,252.9499969482422,246.32867431640625,1153309
2021-02-26,249.89999389648438,252.1999969482422,241.5500030517578,243.9499969482422,237.56427001953125,632187
2021-03-01,245.60000610351562,253.60000610351562,244.10000610351562,246.0500030517578,239.6092987060547,645683
2021-03-02,247.89999389648438,250.4499969482422,243.0,244.5,238.09986877441406,561068
2021-03-03,245.1999969482422,250.0,245.1999969482422,246.89999389648438,240.43702697753906,601899
2021-03-04,244.0,260.5,242.4499969482422,252.35000610351562,245.744384765625,2143907
2021-03-05,252.4499969482422,256.0,245.0500030517578,247.85000610351562,241.3621826171875,751650
